candidate,signal,timeframe_minutes,session,holding_minutes,direction_mode,exit_profile,entry_ts,exit_ts,symbol,direction,entry_price,exit_price,exit_reason,gross_points,net_points,net_dollars,entry_index,exit_index,fold,fold_rank,test_pass,entry_date,month,position_size,adjusted_pnl,capital,risk_state
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 00:01:00+00:00,2022-10-25 00:03:00+00:00,NQZ2,-1,11474.25,11458.75,time,15.5,14.875,297.5,530773,530775,2,1,True,2022-10-25 00:01:00+00:00,2022-10,10,2975.0,102975.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 00:26:00+00:00,2022-10-25 00:28:00+00:00,NQZ2,1,11485.5,11493.5,time,8.0,7.375,147.5,530798,530800,2,1,True,2022-10-25 00:26:00+00:00,2022-10,10,1475.0,104450.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 01:15:00+00:00,2022-10-25 01:17:00+00:00,NQZ2,-1,11444.75,11444.25,time,0.5,-0.125,-2.5,530847,530849,2,1,True,2022-10-25 01:15:00+00:00,2022-10,10,-25.0,104425.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 02:59:00+00:00,2022-10-25 03:01:00+00:00,NQZ2,1,11460.75,11459.5,time,-1.25,-1.875,-37.5,530951,530953,2,1,True,2022-10-25 02:59:00+00:00,2022-10,10,-375.0,104050.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 03:06:00+00:00,2022-10-25 03:08:00+00:00,NQZ2,1,11463.0,11464.25,time,1.25,0.625,12.5,530958,530960,2,1,True,2022-10-25 03:06:00+00:00,2022-10,10,125.0,104175.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 05:03:00+00:00,2022-10-25 05:05:00+00:00,NQZ2,-1,11479.0,11484.25,time,-5.25,-5.875,-117.5,531075,531077,2,1,True,2022-10-25 05:03:00+00:00,2022-10,10,-1175.0,103000.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 05:06:00+00:00,2022-10-25 05:08:00+00:00,NQZ2,-1,11478.5,11476.25,time,2.25,1.625,32.5,531078,531080,2,1,True,2022-10-25 05:06:00+00:00,2022-10,10,325.0,103325.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 05:25:00+00:00,2022-10-25 05:27:00+00:00,NQZ2,-1,11477.5,11477.0,time,0.5,-0.125,-2.5,531097,531099,2,1,True,2022-10-25 05:25:00+00:00,2022-10,10,-25.0,103300.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 06:01:00+00:00,2022-10-25 06:03:00+00:00,NQZ2,1,11490.0,11493.75,time,3.75,3.125,62.5,531133,531135,2,1,True,2022-10-25 06:01:00+00:00,2022-10,10,625.0,103925.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 07:28:00+00:00,2022-10-25 07:30:00+00:00,NQZ2,-1,11475.75,11479.0,time,-3.25,-3.875,-77.5,531220,531222,2,1,True,2022-10-25 07:28:00+00:00,2022-10,10,-775.0,103150.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 07:40:00+00:00,2022-10-25 07:42:00+00:00,NQZ2,-1,11478.5,11480.25,time,-1.75,-2.375,-47.5,531232,531234,2,1,True,2022-10-25 07:40:00+00:00,2022-10,10,-475.0,102675.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 08:00:00+00:00,2022-10-25 08:02:00+00:00,NQZ2,-1,11489.75,11492.0,time,-2.25,-2.875,-57.5,531252,531254,2,1,True,2022-10-25 08:00:00+00:00,2022-10,10,-575.0,102100.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 08:03:00+00:00,2022-10-25 08:05:00+00:00,NQZ2,-1,11489.75,11489.75,time,-0.0,-0.625,-12.5,531255,531257,2,1,True,2022-10-25 08:03:00+00:00,2022-10,5,-62.5,102037.5,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 08:14:00+00:00,2022-10-25 08:16:00+00:00,NQZ2,1,11505.25,11504.0,time,-1.25,-1.875,-37.5,531266,531268,2,1,True,2022-10-25 08:14:00+00:00,2022-10,5,-187.5,101850.0,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 08:55:00+00:00,2022-10-25 08:57:00+00:00,NQZ2,-1,11475.25,11473.25,time,2.0,1.375,27.5,531307,531309,2,1,True,2022-10-25 08:55:00+00:00,2022-10,2,55.0,101905.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 11:12:00+00:00,2022-10-25 11:14:00+00:00,NQZ2,1,11477.25,11476.25,time,-1.0,-1.625,-32.5,531444,531446,2,1,True,2022-10-25 11:12:00+00:00,2022-10,10,-325.0,101580.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 11:53:00+00:00,2022-10-25 11:55:00+00:00,NQZ2,1,11470.5,11466.5,time,-4.0,-4.625,-92.5,531485,531487,2,1,True,2022-10-25 11:53:00+00:00,2022-10,10,-925.0,100655.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:00:00+00:00,2022-10-25 12:02:00+00:00,NQZ2,-1,11460.5,11465.5,time,-5.0,-5.625,-112.5,531492,531494,2,1,True,2022-10-25 12:00:00+00:00,2022-10,10,-1125.0,99530.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:04:00+00:00,2022-10-25 12:06:00+00:00,NQZ2,-1,11457.0,11447.5,time,9.5,8.875,177.5,531496,531498,2,1,True,2022-10-25 12:04:00+00:00,2022-10,4,710.0,100240.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:15:00+00:00,2022-10-25 12:17:00+00:00,NQZ2,-1,11462.75,11469.75,time,-7.0,-7.625,-152.5,531507,531509,2,1,True,2022-10-25 12:15:00+00:00,2022-10,10,-1525.0,98715.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:17:00+00:00,2022-10-25 12:19:00+00:00,NQZ2,1,11469.25,11470.5,time,1.25,0.625,12.5,531509,531511,2,1,True,2022-10-25 12:17:00+00:00,2022-10,6,75.0,98790.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:21:00+00:00,2022-10-25 12:23:00+00:00,NQZ2,1,11472.0,11469.75,time,-2.25,-2.875,-57.5,531513,531515,2,1,True,2022-10-25 12:21:00+00:00,2022-10,6,-345.0,98445.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:29:00+00:00,2022-10-25 12:31:00+00:00,NQZ2,1,11469.0,11469.25,time,0.25,-0.375,-7.5,531521,531523,2,1,True,2022-10-25 12:29:00+00:00,2022-10,6,-45.0,98400.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:33:00+00:00,2022-10-25 12:35:00+00:00,NQZ2,-1,11461.0,11464.0,time,-3.0,-3.625,-72.5,531525,531527,2,1,True,2022-10-25 12:33:00+00:00,2022-10,6,-435.0,97965.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:38:00+00:00,2022-10-25 12:40:00+00:00,NQZ2,-1,11462.75,11454.5,time,8.25,7.625,152.5,531530,531532,2,1,True,2022-10-25 12:38:00+00:00,2022-10,4,610.0,98575.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:47:00+00:00,2022-10-25 12:49:00+00:00,NQZ2,-1,11460.25,11469.0,time,-8.75,-9.375,-187.5,531539,531541,2,1,True,2022-10-25 12:47:00+00:00,2022-10,6,-1125.0,97450.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 12:58:00+00:00,2022-10-25 13:00:00+00:00,NQZ2,1,11476.5,11483.75,time,7.25,6.625,132.5,531550,531552,2,1,True,2022-10-25 12:58:00+00:00,2022-10,6,795.0,98245.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 15:08:00+00:00,2022-10-25 15:10:00+00:00,NQZ2,1,11659.0,11669.75,time,10.75,10.125,202.5,531680,531682,2,1,True,2022-10-25 15:08:00+00:00,2022-10,6,1215.0,99460.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 15:15:00+00:00,2022-10-25 15:17:00+00:00,NQZ2,1,11659.5,11661.25,time,1.75,1.125,22.5,531687,531689,2,1,True,2022-10-25 15:15:00+00:00,2022-10,9,202.5,99662.5,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 17:10:00+00:00,2022-10-25 17:12:00+00:00,NQZ2,-1,11645.5,11636.75,time,8.75,8.125,162.5,531802,531804,2,1,True,2022-10-25 17:10:00+00:00,2022-10,9,1462.5,101125.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 18:06:00+00:00,2022-10-25 18:08:00+00:00,NQZ2,1,11667.25,11671.0,time,3.75,3.125,62.5,531858,531860,2,1,True,2022-10-25 18:06:00+00:00,2022-10,10,625.0,101750.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 18:16:00+00:00,2022-10-25 18:18:00+00:00,NQZ2,1,11672.0,11676.25,time,4.25,3.625,72.5,531868,531870,2,1,True,2022-10-25 18:16:00+00:00,2022-10,10,725.0,102475.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 20:50:00+00:00,2022-10-25 20:52:00+00:00,NQZ2,-1,11582.25,11580.0,time,2.25,1.625,32.5,532022,532024,2,1,True,2022-10-25 20:50:00+00:00,2022-10,10,325.0,102800.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 23:04:00+00:00,2022-10-25 23:06:00+00:00,NQZ2,-1,11473.0,11470.5,time,2.5,1.875,37.5,532096,532098,2,1,True,2022-10-25 23:04:00+00:00,2022-10,10,375.0,103175.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 23:06:00+00:00,2022-10-25 23:08:00+00:00,NQZ2,-1,11470.0,11457.25,time,12.75,12.125,242.5,532098,532100,2,1,True,2022-10-25 23:06:00+00:00,2022-10,10,2425.0,105600.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-25 23:59:00+00:00,2022-10-26 00:01:00+00:00,NQZ2,-1,11469.5,11473.75,time,-4.25,-4.875,-97.5,532151,532153,2,1,True,2022-10-25 23:59:00+00:00,2022-10,10,-975.0,104625.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 00:34:00+00:00,2022-10-26 00:36:00+00:00,NQZ2,-1,11454.75,11459.0,time,-4.25,-4.875,-97.5,532186,532188,2,1,True,2022-10-26 00:34:00+00:00,2022-10,10,-975.0,103650.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 00:45:00+00:00,2022-10-26 00:47:00+00:00,NQZ2,-1,11445.75,11446.75,time,-1.0,-1.625,-32.5,532197,532199,2,1,True,2022-10-26 00:45:00+00:00,2022-10,10,-325.0,103325.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 01:25:00+00:00,2022-10-26 01:27:00+00:00,NQZ2,-1,11452.75,11455.5,time,-2.75,-3.375,-67.5,532237,532239,2,1,True,2022-10-26 01:25:00+00:00,2022-10,5,-337.5,102987.5,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 01:32:00+00:00,2022-10-26 01:34:00+00:00,NQZ2,1,11471.5,11472.0,time,0.5,-0.125,-2.5,532244,532246,2,1,True,2022-10-26 01:32:00+00:00,2022-10,5,-12.5,102975.0,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 03:43:00+00:00,2022-10-26 03:45:00+00:00,NQZ2,-1,11485.25,11487.75,time,-2.5,-3.125,-62.5,532375,532377,2,1,True,2022-10-26 03:43:00+00:00,2022-10,2,-125.0,102850.0,conservative
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 04:31:00+00:00,2022-10-26 04:33:00+00:00,NQZ2,1,11501.25,11503.0,time,1.75,1.125,22.5,532423,532425,2,1,True,2022-10-26 04:31:00+00:00,2022-10,2,45.0,102895.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:02:00+00:00,2022-10-26 05:04:00+00:00,NQZ2,1,11499.5,11498.75,time,-0.75,-1.375,-27.5,532454,532456,2,1,True,2022-10-26 05:02:00+00:00,2022-10,10,-275.0,102620.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:04:00+00:00,2022-10-26 05:06:00+00:00,NQZ2,1,11499.0,11494.0,time,-5.0,-5.625,-112.5,532456,532458,2,1,True,2022-10-26 05:04:00+00:00,2022-10,10,-1125.0,101495.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:07:00+00:00,2022-10-26 05:09:00+00:00,NQZ2,-1,11487.75,11484.25,time,3.5,2.875,57.5,532459,532461,2,1,True,2022-10-26 05:07:00+00:00,2022-10,10,575.0,102070.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 05:51:00+00:00,2022-10-26 05:53:00+00:00,NQZ2,-1,11488.5,11481.0,time,7.5,6.875,137.5,532503,532505,2,1,True,2022-10-26 05:51:00+00:00,2022-10,10,1375.0,103445.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 06:11:00+00:00,2022-10-26 06:13:00+00:00,NQZ2,1,11500.75,11506.25,time,5.5,4.875,97.5,532523,532525,2,1,True,2022-10-26 06:11:00+00:00,2022-10,10,975.0,104420.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 06:58:00+00:00,2022-10-26 07:00:00+00:00,NQZ2,1,11496.75,11502.75,time,6.0,5.375,107.5,532570,532572,2,1,True,2022-10-26 06:58:00+00:00,2022-10,10,1075.0,105495.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 09:28:00+00:00,2022-10-26 09:30:00+00:00,NQZ2,-1,11514.25,11515.5,time,-1.25,-1.875,-37.5,532720,532722,2,1,True,2022-10-26 09:28:00+00:00,2022-10,10,-375.0,105120.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 10:34:00+00:00,2022-10-26 10:36:00+00:00,NQZ2,-1,11528.5,11527.75,time,0.75,0.125,2.5,532786,532788,2,1,True,2022-10-26 10:34:00+00:00,2022-10,10,25.0,105145.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 10:46:00+00:00,2022-10-26 10:48:00+00:00,NQZ2,1,11538.75,11534.5,time,-4.25,-4.875,-97.5,532798,532800,2,1,True,2022-10-26 10:46:00+00:00,2022-10,10,-975.0,104170.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 10:54:00+00:00,2022-10-26 10:56:00+00:00,NQZ2,-1,11530.5,11536.5,time,-6.0,-6.625,-132.5,532806,532808,2,1,True,2022-10-26 10:54:00+00:00,2022-10,10,-1325.0,102845.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:13:00+00:00,2022-10-26 11:15:00+00:00,NQZ2,-1,11508.0,11510.25,time,-2.25,-2.875,-57.5,532825,532827,2,1,True,2022-10-26 11:13:00+00:00,2022-10,10,-575.0,102270.0,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:25:00+00:00,2022-10-26 11:27:00+00:00,NQZ2,1,11538.5,11535.25,time,-3.25,-3.875,-77.5,532837,532839,2,1,True,2022-10-26 11:25:00+00:00,2022-10,5,-387.5,101882.5,reduced
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:29:00+00:00,2022-10-26 11:31:00+00:00,NQZ2,1,11537.25,11550.0,time,12.75,12.125,242.5,532841,532843,2,1,True,2022-10-26 11:29:00+00:00,2022-10,5,1212.5,103095.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 11:51:00+00:00,2022-10-26 11:53:00+00:00,NQZ2,-1,11510.25,11508.0,time,2.25,1.625,32.5,532863,532865,2,1,True,2022-10-26 11:51:00+00:00,2022-10,10,325.0,103420.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 12:05:00+00:00,2022-10-26 12:07:00+00:00,NQZ2,-1,11504.75,11509.0,time,-4.25,-4.875,-97.5,532877,532879,2,1,True,2022-10-26 12:05:00+00:00,2022-10,10,-975.0,102445.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 12:20:00+00:00,2022-10-26 12:22:00+00:00,NQZ2,-1,11508.75,11502.0,time,6.75,6.125,122.5,532892,532894,2,1,True,2022-10-26 12:20:00+00:00,2022-10,10,1225.0,103670.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:06:00+00:00,2022-10-26 13:08:00+00:00,NQZ2,-1,11505.5,11499.0,time,6.5,5.875,117.5,532938,532940,2,1,True,2022-10-26 13:06:00+00:00,2022-10,10,1175.0,104845.0,normal
lightglow_premium_discount_reversal_1m_all_hold2m_reverse_time,premium_discount_reversal,1,all,2,reverse,time,2022-10-26 13:14:00+00:00,2022-10-26 13:16:00+00:00,NQZ2,-1,11509.25,11503.5,time,5.75,5.125,102.5,532946,532948,2,1,True,2022-10-26 13:14:00+00:00,2022-10,10,1025.0,105870.0,normal
